Номер,Утверждение A,Утверждение B,Константы,Тип,Примечание,Полюс_+,Полюс_−
162,В трудных обстоятельствах проявляется моё перфекционизм.,В стрессе у меня проявляется дезорганизация.,C16,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Перфекционизм,Дезорганизация
163,Мне легко проявлять перфекционизм в повседневных ситуациях.,Мне ближе дезорганизация как способ поведения.,C16,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Перфекционизм,Дезорганизация
164,В трудных обстоятельствах проявляется моё доминирование.,В стрессе у меня проявляется уступчивость.,C17,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Доминирование,Уступчивость
165,"Окружающие считают меня человеком, склонным к доминирование.",Окружающие отмечают моё уступчивость поведение.,C17,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Доминирование,Уступчивость
166,Я намеренно развиваю в себе доминирование как качество.,Я стараюсь не быть чрезмерно уступчивость.,C17,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Доминирование,Уступчивость
167,Часто замечаю в себе черты доминирование поведения.,Часто проявляю уступчивость в типичных ситуациях.,C17,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Доминирование,Уступчивость
168,Часто замечаю в себе черты внутренний локус контроля поведения.,Часто проявляю внешний локус контроля в типичных ситуациях.,C18,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Внутренний локус контроля,Внешний локус контроля
169,"Считаю, что внутренний локус контроля помогает достигать целей.","Считаю, что внешний локус контроля помогает лучше справляться с людьми.",C18,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Внутренний локус контроля,Внешний локус контроля
170,"Окружающие считают меня человеком, склонным к внутренний локус контроля.",Окружающие отмечают моё внешний локус контроля поведение.,C18,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Внутренний локус контроля,Внешний локус контроля
171,В трудных обстоятельствах проявляется моё внутренний локус контроля.,В стрессе у меня проявляется внешний локус контроля.,C18,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Внутренний локус контроля,Внешний локус контроля
172,Мне легко проявлять когнитивная гибкость в повседневных ситуациях.,Мне ближе ригидность как способ поведения.,C19,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Когнитивная гибкость,Ригидность
173,Я намеренно развиваю в себе когнитивная гибкость как качество.,Я стараюсь не быть чрезмерно ригидность.,C19,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Когнитивная гибкость,Ригидность
174,"Окружающие считают меня человеком, склонным к когнитивная гибкость.",Окружающие отмечают моё ригидность поведение.,C19,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Когнитивная гибкость,Ригидность
175,Часто замечаю в себе черты когнитивная гибкость поведения.,Часто проявляю ригидность в типичных ситуациях.,C19,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Когнитивная гибкость,Ригидность
176,"Окружающие считают меня человеком, склонным к толерантность к неопределённости.",Окружающие отмечают моё нетерпимость поведение.,C20,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Толерантность к неопределённости,Нетерпимость
177,Мне легко проявлять толерантность к неопределённости в повседневных ситуациях.,Мне ближе нетерпимость как способ поведения.,C20,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Толерантность к неопределённости,Нетерпимость
178,"Считаю, что толерантность к неопределённости помогает достигать целей.","Считаю, что нетерпимость помогает лучше справляться с людьми.",C20,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Толерантность к неопределённости,Нетерпимость
179,В трудных обстоятельствах проявляется моё толерантность к неопределённости.,В стрессе у меня проявляется нетерпимость.,C20,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Толерантность к неопределённости,Нетерпимость
180,Мне легко проявлять долгосрочная ориентация в повседневных ситуациях.,Мне ближе немедленная выгода как способ поведения.,C21,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Долгосрочная ориентация,Немедленная выгода
181,Я намеренно развиваю в себе долгосрочная ориентация как качество.,Я стараюсь не быть чрезмерно немедленная выгода.,C21,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Долгосрочная ориентация,Немедленная выгода
182,Часто замечаю в себе черты долгосрочная ориентация поведения.,Часто проявляю немедленная выгода в типичных ситуациях.,C21,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Долгосрочная ориентация,Немедленная выгода
183,"Считаю, что долгосрочная ориентация помогает достигать целей.","Считаю, что немедленная выгода помогает лучше справляться с людьми.",C21,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Долгосрочная ориентация,Немедленная выгода
184,"Окружающие считают меня человеком, склонным к самосострадание.",Окружающие отмечают моё самоосуждение поведение.,C22,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Самосострадание,Самоосуждение
185,"Считаю, что самосострадание помогает достигать целей.","Считаю, что самоосуждение помогает лучше справляться с людьми.",C22,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Самосострадание,Самоосуждение
186,Часто замечаю в себе черты самосострадание поведения.,Часто проявляю самоосуждение в типичных ситуациях.,C22,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Самосострадание,Самоосуждение
187,Мне легко проявлять самосострадание в повседневных ситуациях.,Мне ближе самоосуждение как способ поведения.,C22,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Самосострадание,Самоосуждение
188,"Окружающие считают меня человеком, склонным к честность в поведении.",Окружающие отмечают моё манипулятивность поведение.,C23,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Честность в поведении,Манипулятивность
189,Я намеренно развиваю в себе честность в поведении как качество.,Я стараюсь не быть чрезмерно манипулятивность.,C23,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Честность в поведении,Манипулятивность
190,"Считаю, что честность в поведении помогает достигать целей.","Считаю, что манипулятивность помогает лучше справляться с людьми.",C23,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Честность в поведении,Манипулятивность
191,Часто замечаю в себе черты честность в поведении поведения.,Часто проявляю манипулятивность в типичных ситуациях.,C23,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Честность в поведении,Манипулятивность
192,"Считаю, что социальная смелость помогает достигать целей.","Считаю, что социальная тревожность помогает лучше справляться с людьми.",C24,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Социальная смелость,Социальная тревожность
193,Часто замечаю в себе черты социальная смелость поведения.,Часто проявляю социальная тревожность в типичных ситуациях.,C24,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Социальная смелость,Социальная тревожность
194,"Окружающие считают меня человеком, склонным к социальная смелость.",Окружающие отмечают моё социальная тревожность поведение.,C24,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Социальная смелость,Социальная тревожность
195,Я намеренно развиваю в себе социальная смелость как качество.,Я стараюсь не быть чрезмерно социальная тревожность.,C24,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Социальная смелость,Социальная тревожность
196,"Считаю, что ценностная открытость помогает достигать целей.","Считаю, что догматизм помогает лучше справляться с людьми.",C25,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Ценностная открытость,Догматизм
197,Я намеренно развиваю в себе ценностная открытость как качество.,Я стараюсь не быть чрезмерно догматизм.,C25,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Ценностная открытость,Догматизм
198,"Окружающие считают меня человеком, склонным к ценностная открытость.",Окружающие отмечают моё догматизм поведение.,C25,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Ценностная открытость,Догматизм
199,Мне легко проявлять ценностная открытость в повседневных ситуациях.,Мне ближе догматизм как способ поведения.,C25,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Ценностная открытость,Догматизм
200,"Окружающие считают меня человеком, склонным к креативность.",Окружающие отмечают моё репродуктивность поведение.,C26,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Креативность,Репродуктивность
201,"Считаю, что креативность помогает достигать целей.","Считаю, что репродуктивность помогает лучше справляться с людьми.",C26,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Креативность,Репродуктивность
202,В трудных обстоятельствах проявляется моё креативность.,В стрессе у меня проявляется репродуктивность.,C26,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Креативность,Репродуктивность
203,Часто замечаю в себе черты креативность поведения.,Часто проявляю репродуктивность в типичных ситуациях.,C26,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Креативность,Репродуктивность
204,"Окружающие считают меня человеком, склонным к грит (настойчивость).",Окружающие отмечают моё сдача позиции поведение.,C27,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Грит (настойчивость),Сдача позиции
205,"Считаю, что грит (настойчивость) помогает достигать целей.","Считаю, что сдача позиции помогает лучше справляться с людьми.",C27,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Грит (настойчивость),Сдача позиции
206,В трудных обстоятельствах проявляется моё грит (настойчивость).,В стрессе у меня проявляется сдача позиции.,C27,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Грит (настойчивость),Сдача позиции
207,Мне легко проявлять грит (настойчивость) в повседневных ситуациях.,Мне ближе сдача позиции как способ поведения.,C27,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Грит (настойчивость),Сдача позиции
208,Мне легко проявлять саморегуляция аффекта в повседневных ситуациях.,Мне ближе аффективная лабильность как способ поведения.,C28,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Саморегуляция аффекта,Аффективная лабильность
209,"Окружающие считают меня человеком, склонным к саморегуляция аффекта.",Окружающие отмечают моё аффективная лабильность поведение.,C28,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Саморегуляция аффекта,Аффективная лабильность
210,"Считаю, что саморегуляция аффекта помогает достигать целей.","Считаю, что аффективная лабильность помогает лучше справляться с людьми.",C28,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Саморегуляция аффекта,Аффективная лабильность
211,Часто замечаю в себе черты саморегуляция аффекта поведения.,Часто проявляю аффективная лабильность в типичных ситуациях.,C28,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Саморегуляция аффекта,Аффективная лабильность
